TripID,LeaderID,LeaderCountry,LeaderCountryISO,LeaderR,LeaderSt,PriorityL,LeaderRo,LeaderTitle,LeaderSurname,LeaderFullName,Exiled,Country,RegionVi,SubRegic,Disputed,SemiAut,TripYear,TripStartDat,TripEndDate
533-AFG-TJK-62262,530,Afghanistan,AFG,Asia,Southern,No,De Facto,Prime Minister,Najibullah,Najibullah Najibullah,0,Hungary,Other,Other,No,No,2006,01/25/2006,06/11/2006
133-AFG-SUN-40854,1629,Greece,AFG,Asia,Southern,No,De Facto,Acting President,Najibullah,Najibullah Najibullah,0,Bulgaria,Other,Other,No,Yes,1999,09/30/1999,10/31/1999
460-AFG-IND-78352,1053,Guatemala,AFG,Asia,Southern,No,GS,Acting President,Karzai,Karzai Karzai,1,Angola,Other,Other,Yes,No,2021,04/05/2021,09/11/2021
699-AFG-IRN-75377,997,Tajikistan,AFG,Asia,Southern,No,De Facto,General Secretary,Karzai,Karzai Karzai,1,Egypt,Africa,Northern/Southern,No,No,2017,02/19/2017,05/27/2017
793-AFG-TJK-91152,1799,Afghanistan,AFG,Asia,Southern,Yes,De Facto,Acting President,Najibullah,Najibullah Najibullah,0,Maldives,Other,Other,No,No,2013,01/23/2013,11/18/2013
898-AFG-PAK-63100,1472,Sudan,AFG,Asia,Southern,No,GS,King,Mojadedi,Mojadedi Mojadedi,1,Ukraine,Other,Other,Yes,Yes,2001,01/03/2001,07/12/2001
781-AFG-TJK-61428,1028,Mongolia,AFG,Asia,Southern,Yes,GS,President,Mojadedi,Mojadedi Mojadedi,1,Uruguay,Other,Other,Yes,No,2020,03/05/2020,07/29/2020
959-AFG-TJK-82291,1904,Qatar,AFG,Asia,Southern,No,De Facto,Prime Minister,Najibullah,Najibullah Najibullah,1,Uzbekistan,Asia,Southern,Yes,No,1991,05/14/1991,12/26/1991
455-AFG-UZB-98887,1474,Jamaica,AFG,Asia,Southern,Yes,GS,Prime Minister,Rabbani,Rabbani Rabbani,1,Japan,Other,Other,No,Yes,2009,01/18/2009,05/05/2009
150-AFG-TJK-66856,847,Zimbabwe,AFG,Asia,Southern,Yes,GS,King,Karzai,Karzai Karzai,0,Barbados,Other,Other,No,Yes,2008,03/16/2008,09/11/2008
452-AFG-PAK-75108,1200,Mongolia,AFG,Asia,Southern,No,S,President,Najibullah,Najibullah Najibullah,1,Afghanistan,Asia,Southern,No,No,2021,02/01/2021,09/08/2021
428-AFG-PAK-45891,116,Bulgaria,AFG,Asia,Southern,No,S,Prime Minister,Rabbani,Rabbani Rabbani,1,Mongolia,Other,Other,No,Yes,1991,03/21/1991,09/10/1991
779-AFG-IRN-64195,1185,Central African Republic,AFG,Asia,Southern,No,De Facto,General Secretary,Najibullah,Najibullah Najibullah,1,Iceland,Other,Other,Yes,No,1998,02/17/1998,09/16/1998
394-AFG-UZB-78886,1799,Afghanistan,AFG,Asia,Southern,Yes,De Facto,Chancellor,Rabbani,Rabbani Rabbani,1,El Salvador,Other,Other,Yes,No,2009,01/19/2009,12/25/2009
232-AFG-PAK-54661,194,Honduras,AFG,Asia,Southern,Yes,S,President,Najibullah,Najibullah Najibullah,0,Lesotho,Other,Other,Yes,Yes,1990,06/18/1990,08/23/1990
337-AFG-UZB-72135,1452,Jordan,AFG,Asia,Southern,No,De Facto,Chancellor,Najibullah,Najibullah Najibullah,0,Cameroon,Other,Other,No,No,2003,05/02/2003,06/24/2003
124-AFG-IND-49206,1153,Malawi,AFG,Asia,Southern,No,S,Acting President,Najibullah,Najibullah Najibullah,1,Russia,Other,Other,No,No,2009,02/08/2009,07/14/2009
302-AFG-SUN-55751,1299,Senegal,AFG,Asia,Southern,No,De Facto,Emperor,Rabbani,Rabbani Rabbani,0,Niger,Other,Other,Yes,Yes,2002,09/13/2002,09/21/2002
119-AFG-PAK-36286,1428,Russia,AFG,Asia,Southern,Yes,GS,King,Rabbani,Rabbani Rabbani,0,Mexico,America,North/South,Yes,Yes,2014,01/18/2014,06/09/2014
967-AFG-TJK-87354,426,Honduras,AFG,Asia,Southern,Yes,S,Acting President,Mojadedi,Mojadedi Mojadedi,0,Jamaica,Other,Other,No,Yes,2020,01/14/2020,12/16/2020
913-AFG-TJK-56651,1235,Panama,AFG,Asia,Southern,Yes,GS,Emperor,Mojadedi,Mojadedi Mojadedi,0,Costa Rica,Other,Other,No,Yes,2013,08/17/2013,09/19/2013
292-AFG-TJK-76103,1614,Panama,AFG,Asia,Southern,Yes,GS,Acting President,Mojadedi,Mojadedi Mojadedi,1,Vietnam,Other,Other,No,Yes,2022,05/09/2022,06/22/2022
169-AFG-IRN-74083,249,Finland,AFG,Asia,Southern,No,De Facto,Emperor,Rabbani,Rabbani Rabbani,1,Tajikistan,Asia,Southern,Yes,Yes,2016,06/19/2016,12/22/2016
409-AFG-SUN-64729,1179,Norway,AFG,Asia,Southern,Yes,De Facto,Acting President,Karzai,Karzai Karzai,1,Peru,Other,Other,Yes,No,1996,01/05/1996,12/16/1996
472-AFG-TJK-47268,183,Czech Republic,AFG,Asia,Southern,No,De Facto,Head of State,Karzai,Karzai Karzai,0,Slovenia,Other,Other,Yes,No,2021,10/08/2021,10/13/2021
972-AFG-SUN-42748,781,Nigeria,AFG,Asia,Southern,No,De Facto,Prime Minister,Karzai,Karzai Karzai,1,Sudan,Other,Other,Yes,Yes,1999,05/10/1999,05/13/1999
636-AFG-SUN-95989,868,Turkmenistan,AFG,Asia,Southern,Yes,De Facto,Emperor,Rabbani,Rabbani Rabbani,0,Malawi,Other,Other,No,No,2023,01/14/2023,03/07/2023
562-AFG-SUN-47316,1502,Ecuador,AFG,Asia,Southern,No,GS,King,Mojadedi,Mojadedi Mojadedi,0,Mauritius,Other,Other,No,Yes,2006,01/26/2006,06/30/2006
624-AFG-TJK-84975,1801,Sudan,AFG,Asia,Southern,No,De Facto,General Secretary,Rabbani,Rabbani Rabbani,1,Kazakhstan,Other,Other,Yes,Yes,2007,12/03/2007,12/28/2007
142-AFG-IRN-53374,1828,Slovakia,AFG,Asia,Southern,No,De Facto,Prime Minister,Karzai,Karzai Karzai,1,Yemen,Other,Other,Yes,Yes,1993,08/16/1993,08/19/1993
179-AFG-IND-39968,1752,Azerbaijan,AFG,Asia,Southern,Yes,De Facto,Chancellor,Najibullah,Najibullah Najibullah,0,Yemen,Other,Other,Yes,Yes,2014,04/16/2014,08/10/2014
306-AFG-UZB-38460,361,Romania,AFG,Asia,Southern,Yes,GS,General Secretary,Rabbani,Rabbani Rabbani,0,Bahamas,Other,Other,No,Yes,2020,03/21/2020,06/29/2020
595-AFG-IRN-82154,1571,El Salvador,AFG,Asia,Southern,No,De Facto,Prime Minister,Mojadedi,Mojadedi Mojadedi,1,Netherlands,Other,Other,No,No,2023,04/02/2023,11/20/2023
384-AFG-IRN-47479,250,Kyrgyzstan,AFG,Asia,Southern,Yes,GS,Head of State,Najibullah,Najibullah Najibullah,1,Nigeria,Africa,Northern/Southern,Yes,No,2010,12/17/2010,12/30/2010
298-AFG-TJK-42321,1414,United States,AFG,Asia,Southern,No,De Facto,Head of State,Mojadedi,Mojadedi Mojadedi,0,Indonesia,Other,Other,Yes,Yes,2019,09/03/2019,12/04/2019
829-AFG-UZB-95734,1486,Iran,AFG,Asia,Southern,Yes,De Facto,Head of State,Najibullah,Najibullah Najibullah,0,Croatia,Other,Other,No,No,2016,04/29/2016,10/07/2016
464-AFG-UZB-71800,1868,Congo,AFG,Asia,Southern,No,De Facto,Acting President,Najibullah,Najibullah Najibullah,0,Serbia,Other,Other,Yes,No,1995,03/10/1995,04/25/1995
864-AFG-IRN-97323,609,Bulgaria,AFG,Asia,Southern,No,GS,King,Rabbani,Rabbani Rabbani,1,Seychelles,Other,Other,Yes,Yes,2007,09/01/2007,09/13/2007
345-AFG-SUN-89634,1069,Tajikistan,AFG,Asia,Southern,No,De Facto,King,Mojadedi,Mojadedi Mojadedi,1,Lesotho,Other,Other,No,Yes,2020,01/26/2020,04/15/2020
530-AFG-SUN-79000,1237,Belarus,AFG,Asia,Southern,No,De Facto,Chancellor,Najibullah,Najibullah Najibullah,1,Lesotho,Other,Other,Yes,Yes,1997,08/05/1997,12/18/1997
128-AFG-PAK-53998,1552,Sierra Leone,AFG,Asia,Southern,Yes,S,Head of State,Najibullah,Najibullah Najibullah,0,Venezuela,Other,Other,No,Yes,2020,03/20/2020,09/20/2020
158-AFG-SUN-67389,178,Kazakhstan,AFG,Asia,Southern,Yes,De Facto,General Secretary,Karzai,Karzai Karzai,0,Rwanda,Other,Other,No,No,2019,05/17/2019,10/30/2019
401-AFG-IND-74384,1285,Botswana,AFG,Asia,Southern,No,S,General Secretary,Rabbani,Rabbani Rabbani,1,South Africa,Africa,Northern/Southern,No,Yes,1991,01/02/1991,02/07/1991
971-AFG-PAK-35458,205,Mozambique,AFG,Asia,Southern,No,S,Acting President,Najibullah,Najibullah Najibullah,1,Nepal,Other,Other,Yes,Yes,1995,02/19/1995,05/27/1995
727-AFG-PAK-58971,447,Austria,AFG,Asia,Southern,Yes,De Facto,Chancellor,Mojadedi,Mojadedi Mojadedi,0,Argentina,America,North/South,Yes,Yes,2000,09/22/2000,09/30/2000
378-AFG-IRN-91847,1273,Kazakhstan,AFG,Asia,Southern,Yes,De Facto,Head of State,Mojadedi,Mojadedi Mojadedi,0,Georgia,Other,Other,No,Yes,2007,05/09/2007,11/22/2007
655-AFG-TJK-52869,921,Australia,AFG,Asia,Southern,No,GS,Prime Minister,Najibullah,Najibullah Najibullah,0,Finland,Other,Other,Yes,Yes,2017,08/14/2017,10/04/2017
855-AFG-IRN-34508,709,Barbados,AFG,Asia,Southern,No,GS,Emperor,Rabbani,Rabbani Rabbani,1,Egypt,Africa,Northern/Southern,Yes,No,2000,04/07/2000,04/11/2000
699-AFG-SUN-51285,1889,Latvia,AFG,Asia,Southern,No,S,Head of State,Rabbani,Rabbani Rabbani,1,Oman,Other,Other,No,Yes,2014,05/02/2014,09/28/2014
140-AFG-SUN-93690,368,Kazakhstan,AFG,Asia,Southern,No,S,President,Mojadedi,Mojadedi Mojadedi,0,Rwanda,Other,Other,Yes,No,2004,06/08/2004,07/15/2004
226-AFG-IND-66868,1326,Norway,AFG,Asia,Southern,Yes,De Facto,King,Rabbani,Rabbani Rabbani,0,El Salvador,Other,Other,Yes,Yes,2010,11/11/2010,12/17/2010
279-AFG-SUN-36090,225,Mozambique,AFG,Asia,Southern,Yes,GS,Head of State,Najibullah,Najibullah Najibullah,1,Argentina,America,North/South,No,No,1999,06/22/1999,07/23/1999
624-AFG-PAK-53637,1684,Russia,AFG,Asia,Southern,Yes,GS,President,Rabbani,Rabbani Rabbani,1,Denmark,Other,Other,No,Yes,1993,03/11/1993,12/15/1993
917-AFG-TJK-43451,1415,Tajikistan,AFG,Asia,Southern,Yes,GS,President,Najibullah,Najibullah Najibullah,1,Eswatini,Other,Other,Yes,No,2005,05/01/2005,05/05/2005
837-AFG-IND-34877,327,Canada,AFG,Asia,Southern,Yes,GS,President,Mojadedi,Mojadedi Mojadedi,1,Eswatini,Other,Other,Yes,Yes,1991,05/18/1991,05/22/1991
274-AFG-PAK-99291,678,Haiti,AFG,Asia,Southern,Yes,GS,Acting President,Mojadedi,Mojadedi Mojadedi,0,Niger,Other,Other,Yes,No,2016,04/12/2016,12/24/2016
622-AFG-SUN-36767,221,Trinidad and Tobago,AFG,Asia,Southern,Yes,GS,Head of State,Najibullah,Najibullah Najibullah,0,Afghanistan,Asia,Southern,No,No,2017,10/15/2017,12/09/2017
810-AFG-TJK-37511,1347,Costa Rica,AFG,Asia,Southern,No,GS,President,Rabbani,Rabbani Rabbani,1,Turkey,Other,Other,No,Yes,1995,01/27/1995,09/11/1995
921-AFG-TJK-90497,120,Botswana,AFG,Asia,Southern,Yes,S,Chancellor,Karzai,Karzai Karzai,1,Dominican Republic,Other,Other,No,No,1995,08/18/1995,11/22/1995
513-AFG-SUN-85591,1216,Sri Lanka,AFG,Asia,Southern,No,De Facto,Emperor,Karzai,Karzai Karzai,0,Nigeria,Africa,Northern/Southern,No,No,2011,07/26/2011,12/11/2011
660-AFG-UZB-56530,1603,Saudi Arabia,AFG,Asia,Southern,Yes,S,General Secretary,Karzai,Karzai Karzai,0,Sudan,Other,Other,No,No,2020,06/02/2020,10/12/2020
366-AFG-UZB-71615,365,South Sudan,AFG,Asia,Southern,Yes,S,President,Najibullah,Najibullah Najibullah,0,South Africa,Africa,Northern/Southern,No,No,1999,01/07/1999,02/09/1999
470-AFG-TJK-36290,559,Mexico,AFG,Asia,Southern,Yes,S,Chancellor,Najibullah,Najibullah Najibullah,1,Trinidad and Tobago,Other,Other,No,Yes,1991,02/06/1991,09/07/1991
917-AFG-IRN-33863,726,Qatar,AFG,Asia,Southern,Yes,S,General Secretary,Najibullah,Najibullah Najibullah,0,Cuba,Other,Other,Yes,No,2018,03/02/2018,10/07/2018
410-AFG-SUN-49295,213,Bangladesh,AFG,Asia,Southern,No,De Facto,King,Mojadedi,Mojadedi Mojadedi,1,Vietnam,Other,Other,Yes,No,1991,06/08/1991,09/08/1991
699-AFG-IND-50177,635,Senegal,AFG,Asia,Southern,Yes,De Facto,President,Karzai,Karzai Karzai,1,Democratic Republic of the Congo,Other,Other,No,Yes,1997,10/17/1997,12/15/1997
650-AFG-IRN-91924,479,Iran,AFG,Asia,Southern,No,De Facto,Acting President,Rabbani,Rabbani Rabbani,0,Chile,Other,Other,No,No,1996,06/12/1996,06/16/1996
774-AFG-PAK-82086,1865,Iceland,AFG,Asia,Southern,Yes,GS,Chancellor,Karzai,Karzai Karzai,1,Zimbabwe,Other,Other,No,Yes,2009,02/02/2009,02/13/2009
141-AFG-IRN-92484,1661,Venezuela,AFG,Asia,Southern,No,S,Emperor,Najibullah,Najibullah Najibullah,0,Hungary,Other,Other,Yes,Yes,1991,03/14/1991,11/13/1991
145-AFG-TJK-49488,467,Afghanistan,AFG,Asia,Southern,No,GS,General Secretary,Karzai,Karzai Karzai,1,Eswatini,Other,Other,No,No,1992,08/20/1992,12/14/1992
143-AFG-IND-92699,1072,Iran,AFG,Asia,Southern,Yes,GS,Acting President,Rabbani,Rabbani Rabbani,1,South Sudan,Other,Other,Yes,Yes,2012,01/28/2012,04/19/2012
769-AFG-IRN-59758,529,Seychelles,AFG,Asia,Southern,No,S,General Secretary,Mojadedi,Mojadedi Mojadedi,1,Rwanda,Other,Other,No,No,2003,05/04/2003,08/04/2003
477-AFG-TJK-92986,191,Kuwait,AFG,Asia,Southern,No,De Facto,General Secretary,Karzai,Karzai Karzai,0,Canada,America,North/South,No,Yes,2000,02/22/2000,12/09/2000
585-AFG-SUN-97566,263,Spain,AFG,Asia,Southern,Yes,GS,Prime Minister,Najibullah,Najibullah Najibullah,0,Democratic Republic of the Congo,Other,Other,No,No,2007,09/27/2007,11/10/2007
823-AFG-UZB-37941,1174,Brazil,AFG,Asia,Southern,No,S,Emperor,Mojadedi,Mojadedi Mojadedi,1,Finland,Other,Other,Yes,Yes,1990,09/10/1990,10/18/1990
243-AFG-UZB-40914,356,Croatia,AFG,Asia,Southern,Yes,S,Chancellor,Mojadedi,Mojadedi Mojadedi,0,Croatia,Other,Other,Yes,No,2008,02/27/2008,11/13/2008
963-AFG-IND-80212,1198,Switzerland,AFG,Asia,Southern,Yes,GS,President,Najibullah,Najibullah Najibullah,0,Panama,Other,Other,Yes,No,2002,06/14/2002,10/23/2002
158-AFG-PAK-62681,1745,Spain,AFG,Asia,Southern,Yes,S,King,Mojadedi,Mojadedi Mojadedi,0,Hungary,Other,Other,No,No,2006,07/29/2006,09/03/2006
703-AFG-UZB-89917,1862,Iran,AFG,Asia,Southern,No,De Facto,King,Najibullah,Najibullah Najibullah,1,Chad,Other,Other,No,Yes,2018,01/27/2018,02/08/2018
232-AFG-PAK-82961,1880,Seychelles,AFG,Asia,Southern,No,GS,Acting President,Rabbani,Rabbani Rabbani,0,Costa Rica,Other,Other,No,Yes,2006,05/08/2006,12/27/2006
406-AFG-IRN-60374,328,Eswatini,AFG,Asia,Southern,No,S,Acting President,Mojadedi,Mojadedi Mojadedi,0,Oman,Other,Other,No,Yes,1991,01/20/1991,11/04/1991
177-AFG-PAK-74767,1837,Mauritius,AFG,Asia,Southern,Yes,GS,Chancellor,Mojadedi,Mojadedi Mojadedi,0,Zambia,Other,Other,No,Yes,2016,12/01/2016,12/31/2016
379-AFG-PAK-36443,1838,Iceland,AFG,Asia,Southern,No,S,King,Rabbani,Rabbani Rabbani,0,Bhutan,Other,Other,No,No,2007,01/12/2007,03/04/2007
512-AFG-UZB-47925,1850,Belgium,AFG,Asia,Southern,No,S,Acting President,Mojadedi,Mojadedi Mojadedi,1,Peru,Other,Other,No,No,2010,03/14/2010,07/28/2010
770-AFG-IRN-62827,251,Ecuador,AFG,Asia,Southern,Yes,GS,General Secretary,Mojadedi,Mojadedi Mojadedi,1,Uruguay,Other,Other,Yes,Yes,1996,07/31/1996,08/05/1996
537-AFG-SUN-64983,1184,Estonia,AFG,Asia,Southern,Yes,GS,Emperor,Rabbani,Rabbani Rabbani,0,Democratic Republic of the Congo,Other,Other,No,Yes,1991,03/24/1991,05/07/1991
761-AFG-UZB-70420,221,Tajikistan,AFG,Asia,Southern,No,GS,President,Karzai,Karzai Karzai,1,Dominican Republic,Other,Other,Yes,Yes,2018,09/03/2018,12/30/2018
599-AFG-PAK-50254,981,Trinidad and Tobago,AFG,Asia,Southern,No,GS,Head of State,Mojadedi,Mojadedi Mojadedi,1,Sweden,Other,Other,No,No,1996,03/23/1996,04/05/1996
613-AFG-SUN-46475,1437,Thailand,AFG,Asia,Southern,No,De Facto,Acting President,Rabbani,Rabbani Rabbani,0,United States,America,North/South,No,No,1994,03/05/1994,12/31/1994
215-AFG-UZB-83647,1092,Turkey,AFG,Asia,Southern,Yes,S,Prime Minister,Rabbani,Rabbani Rabbani,1,Armenia,Other,Other,No,Yes,2012,01/24/2012,03/23/2012
914-AFG-IND-71865,1695,Finland,AFG,Asia,Southern,No,De Facto,Head of State,Mojadedi,Mojadedi Mojadedi,0,Nepal,Other,Other,Yes,Yes,2003,03/29/2003,10/15/2003
352-AFG-PAK-43139,1783,Iran,AFG,Asia,Southern,Yes,GS,President,Mojadedi,Mojadedi Mojadedi,0,Malaysia,Other,Other,No,No,2005,05/01/2005,10/27/2005
620-AFG-IND-79066,1764,Mozambique,AFG,Asia,Southern,Yes,S,President,Karzai,Karzai Karzai,0,Nigeria,Africa,Northern/Southern,No,Yes,2007,01/22/2007,02/17/2007
324-AFG-PAK-86950,789,Botswana,AFG,Asia,Southern,No,De Facto,President,Najibullah,Najibullah Najibullah,1,Haiti,Other,Other,Yes,No,2016,01/17/2016,04/29/2016
394-AFG-UZB-87858,477,Guatemala,AFG,Asia,Southern,Yes,De Facto,Emperor,Karzai,Karzai Karzai,1,Mexico,America,North/South,No,No,2000,01/31/2000,10/13/2000
815-AFG-IND-48584,1522,Eswatini,AFG,Asia,Southern,Yes,GS,King,Najibullah,Najibullah Najibullah,0,Romania,Other,Other,No,No,2015,03/19/2015,10/01/2015
904-AFG-PAK-38219,514,Ukraine,AFG,Asia,Southern,Yes,S,King,Najibullah,Najibullah Najibullah,0,Ecuador,Other,Other,No,No,2002,01/16/2002,10/06/2002
343-AFG-IND-92628,249,Peru,AFG,Asia,Southern,Yes,De Facto,Prime Minister,Karzai,Karzai Karzai,0,Pakistan,Asia,Southern,No,No,2014,01/10/2014,03/21/2014
553-AFG-SUN-61054,1280,Uzbekistan,AFG,Asia,Southern,No,De Facto,Head of State,Mojadedi,Mojadedi Mojadedi,0,Iceland,Other,Other,Yes,Yes,2017,03/27/2017,09/06/2017
274-AFG-TJK-58571,1569,Italy,AFG,Asia,Southern,Yes,De Facto,Chancellor,Karzai,Karzai Karzai,0,Kyrgyzstan,Other,Other,No,Yes,2023,02/26/2023,03/22/2023
102-AFG-SUN-59187,687,Sierra Leone,AFG,Asia,Southern,No,S,Prime Minister,Rabbani,Rabbani Rabbani,1,Chile,Other,Other,No,No,1996,05/01/1996,12/14/1996
856-AFG-SUN-47018,1744,Iraq,AFG,Asia,Southern,No,S,Emperor,Mojadedi,Mojadedi Mojadedi,0,Sierra Leone,Other,Other,Yes,Yes,1997,09/26/1997,10/28/1997
808-AFG-PAK-50378,211,Sierra Leone,AFG,Asia,Southern,Yes,S,Prime Minister,Rabbani,Rabbani Rabbani,1,Malawi,Other,Other,No,No,1990,05/22/1990,08/04/1990
146-AFG-SUN-96838,209,Lesotho,AFG,Asia,Southern,No,S,Acting President,Mojadedi,Mojadedi Mojadedi,1,Indonesia,Other,Other,Yes,No,1995,05/18/1995,08/13/1995
730-AFG-TJK-99861,1780,Eswatini,AFG,Asia,Southern,No,GS,General Secretary,Mojadedi,Mojadedi Mojadedi,0,Malawi,Other,Other,No,Yes,2023,01/20/2023,10/17/2023
916-AFG-UZB-86881,1535,Rwanda,AFG,Asia,Southern,Yes,De Facto,Emperor,Mojadedi,Mojadedi Mojadedi,1,Saudi Arabia,Other,Other,No,No,2014,06/11/2014,12/02/2014
316-AFG-UZB-90118,1225,Honduras,AFG,Asia,Southern,Yes,De Facto,Emperor,Mojadedi,Mojadedi Mojadedi,0,Finland,Other,Other,Yes,No,2005,08/25/2005,10/04/2005
